"CityName","TownName","VilName","VilCode","key","pole1","pole2","pole3","pole4","pole5","pole6","pole7","pole8","pole9","pole10","household","meters"
"台北市","松山區","莊敬里","6300100-002","台北市松山區莊敬里",0,0,0,1,3,39,0,0,0,0,2069,1811
"台北市","松山區","東榮里","6300100-003","台北市松山區東榮里",0,0,0,0,0,0,0,0,0,0,2984,2612
"台北市","松山區","三民里","6300100-004","台北市松山區三民里",0,0,0,0,0,0,0,0,0,0,2937,2652
"台北市","松山區","新益里","6300100-005","台北市松山區新益里",0,0,0,0,0,4,0,0,0,0,1850,1669
"台北市","松山區","富錦里","6300100-006","台北市松山區富錦里",0,0,0,0,0,1,0,0,0,0,2121,1911
"台北市","松山區","新東里","6300100-007","台北市松山區新東里",0,0,0,0,0,6,0,0,0,0,1996,1860
"台北市","松山區","富泰里","6300100-008","台北市松山區富泰里",0,0,0,0,0,0,0,0,0,0,1997,2005
"台北市","松山區","介壽里","6300100-009","台北市松山區介壽里",0,0,0,0,0,0,0,0,0,0,1749,1353
"台北市","松山區","精忠里","6300100-010","台北市松山區精忠里",0,0,0,0,1,5,0,0,0,0,1742,1449
"台北市","松山區","東光里","6300100-011","台北市松山區東光里",0,0,0,0,0,0,0,0,0,0,3040,2715
"台北市","松山區","龍田里","6300100-012","台北市松山區龍田里",0,0,0,0,2,2,0,0,0,0,4247,3362
"台北市","松山區","東昌里","6300100-013","台北市松山區東昌里",0,0,0,0,0,0,0,0,0,0,1045,881
"台北市","松山區","東勢里","6300100-014","台北市松山區東勢里",0,0,0,0,0,2,0,0,0,0,1814,1629
"台北市","松山區","中華里","6300100-015","台北市松山區中華里",0,0,0,0,0,1,0,0,0,0,2540,2148
"台北市","松山區","民有里","6300100-016","台北市松山區民有里",0,0,0,0,0,2,0,0,0,0,3461,3540
"台北市","松山區","民福里","6300100-017","台北市松山區民福里",0,0,0,3,0,14,0,0,0,0,2650,2586
"台北市","松山區","慈祐里","6300100-018","台北市松山區慈祐里",0,0,0,0,2,6,0,0,0,0,4042,3367
"台北市","松山區","安平里","6300100-019","台北市松山區安平里",0,0,0,0,0,6,0,0,0,0,3535,3584
"台北市","松山區","鵬程里","6300100-020","台北市松山區鵬程里",0,0,0,0,0,9,0,0,0,0,2115,1854
"台北市","松山區","自強里","6300100-021","台北市松山區自強里",0,0,0,0,0,1,0,0,0,0,3747,3018
"台北市","松山區","吉祥里","6300100-022","台北市松山區吉祥里",0,0,0,1,2,2,0,0,0,0,3420,3323
"台北市","松山區","新聚里","6300100-024","台北市松山區新聚里",0,0,0,0,0,0,0,0,0,0,3353,3278
"台北市","松山區","復盛里","6300100-025","台北市松山區復盛里",0,0,0,0,0,1,0,0,0,0,2570,2316
"台北市","松山區","中正里","6300100-026","台北市松山區中正里",0,0,0,0,0,2,0,0,0,0,3947,3295
"台北市","松山區","中崙里","6300100-027","台北市松山區中崙里",0,0,0,0,0,0,0,0,0,0,1739,1601
"台北市","松山區","美仁里","6300100-028","台北市松山區美仁里",0,0,0,0,0,1,0,0,0,0,1362,1085
"台北市","松山區","吉仁里","6300100-029","台北市松山區吉仁里",0,0,0,0,0,1,0,0,0,0,1560,1249
"台北市","松山區","敦化里","6300100-030","台北市松山區敦化里",0,0,0,0,0,0,0,0,0,0,2606,2117
"台北市","松山區","復源里","6300100-031","台北市松山區復源里",0,0,0,0,0,0,0,0,0,0,1234,1048
"台北市","松山區","復建里","6300100-032","台北市松山區復建里",0,0,0,0,0,0,0,0,0,0,1846,1680
"台北市","松山區","復勢里","6300100-033","台北市松山區復勢里",0,0,0,0,0,9,0,0,0,0,2576,2380
"台北市","松山區","福成里","6300100-034","台北市松山區福成里",0,0,0,0,0,1,0,0,0,0,1008,830
"台北市","松山區","松基里","6300100-035","台北市松山區松基里",0,0,0,0,0,0,0,0,0,0,1467,1578
"台北市","信義區","西村里","6300200-001","台北市信義區西村里",0,0,0,0,0,0,0,0,0,0,2949,1482
"台北市","信義區","正和里","6300200-002","台北市信義區正和里",0,0,0,0,0,0,0,0,0,0,1922,1741
"台北市","信義區","興隆里","6300200-003","台北市信義區興隆里",0,0,0,0,0,0,0,0,0,0,1264,1154
"台北市","信義區","中興里","6300200-004","台北市信義區中興里",0,0,0,0,0,1,0,0,0,0,1751,2158
"台北市","信義區","新仁里","6300200-005","台北市信義區新仁里",0,0,0,0,0,3,0,0,0,0,1392,1319
"台北市","信義區","興雅里","6300200-006","台北市信義區興雅里",0,0,0,0,0,1,0,0,0,0,2492,2376
"台北市","信義區","敦厚里","6300200-007","台北市信義區敦厚里",0,0,0,0,0,4,0,0,0,0,2320,2338
"台北市","信義區","廣居里","6300200-008","台北市信義區廣居里",0,0,0,0,1,0,0,0,0,0,3117,2715
"台北市","信義區","安康里","6300200-009","台北市信義區安康里",0,0,0,0,0,0,0,0,0,0,4398,4452
"台北市","信義區","六藝里","6300200-010","台北市信義區六藝里",0,0,0,0,0,2,0,0,0,0,1392,1243
"台北市","信義區","雅祥里","6300200-011","台北市信義區雅祥里",0,0,0,0,0,7,0,0,0,0,2088,1870
"台北市","信義區","五常里","6300200-012","台北市信義區五常里",0,0,0,0,0,1,0,0,0,0,1468,1384
"台北市","信義區","五全里","6300200-013","台北市信義區五全里",0,0,0,0,0,0,0,0,0,0,2035,1864
"台北市","信義區","永吉里","6300200-014","台北市信義區永吉里",0,0,0,0,0,4,0,0,0,0,1449,1283
"台北市","信義區","長春里","6300200-015","台北市信義區長春里",0,0,0,0,0,0,0,0,0,0,1675,1687
"台北市","信義區","四育里","6300200-016","台北市信義區四育里",0,0,0,0,0,3,0,0,0,0,2178,1939
"台北市","信義區","四維里","6300200-017","台北市信義區四維里",0,0,0,0,0,0,0,0,0,0,2175,1810
"台北市","信義區","永春里","6300200-018","台北市信義區永春里",0,0,0,0,0,2,0,0,0,0,1970,1856
"台北市","信義區","富臺里","6300200-019","台北市信義區富臺里",0,0,0,0,0,0,0,0,0,0,1966,2000
"台北市","信義區","國業里","6300200-020","台北市信義區國業里",0,0,0,0,0,0,0,0,0,0,3007,2491
"台北市","信義區","松隆里","6300200-021","台北市信義區松隆里",0,0,1,46,4,88,0,0,2,0,889,768
"台北市","信義區","松友里","6300200-022","台北市信義區松友里",0,0,0,6,2,20,0,0,0,0,2564,2219
"台北市","信義區","松光里","6300200-023","台北市信義區松光里",0,0,0,0,0,1,0,0,0,0,2083,1955
"台北市","信義區","中坡里","6300200-024","台北市信義區中坡里",0,0,0,5,0,31,0,0,0,0,1687,1555
"台北市","信義區","中行里","6300200-025","台北市信義區中行里",0,0,0,38,2,37,0,0,0,0,2989,2528
"台北市","信義區","大道里","6300200-026","台北市信義區大道里",0,0,0,0,0,0,0,0,0,0,2398,2383
"台北市","信義區","大仁里","6300200-027","台北市信義區大仁里",0,0,0,0,0,0,0,0,0,0,1650,1439
"台北市","信義區","景新里","6300200-028","台北市信義區景新里",0,0,0,0,1,5,0,0,0,0,2180,2107
"台北市","信義區","惠安里","6300200-029","台北市信義區惠安里",0,0,0,2,3,48,0,0,0,0,2630,2484
"台北市","信義區","三張里","6300200-030","台北市信義區三張里",0,0,0,0,1,5,0,0,0,0,3647,3418
"台北市","信義區","三犁里","6300200-031","台北市信義區三犁里",0,0,0,8,0,39,0,0,0,0,2154,2144
"台北市","信義區","六合里","6300200-032","台北市信義區六合里",0,0,0,43,3,41,0,0,1,0,2822,2718
"台北市","信義區","泰和里","6300200-033","台北市信義區泰和里",0,0,0,13,0,23,0,0,3,0,3145,2967
"台北市","信義區","景聯里","6300200-034","台北市信義區景聯里",0,0,0,1,0,1,0,0,0,0,1925,1882
"台北市","信義區","景勤里","6300200-035","台北市信義區景勤里",0,0,0,9,1,9,0,0,0,0,1678,1495
"台北市","信義區","雙和里","6300200-036","台北市信義區雙和里",0,0,0,2,1,6,0,0,0,0,2922,2814
"台北市","信義區","嘉興里","6300200-037","台北市信義區嘉興里",0,0,0,0,0,0,0,0,0,0,1320,1232
"台北市","信義區","黎順里","6300200-038","台北市信義區黎順里",0,0,0,7,2,27,0,0,0,0,1789,1835
"台北市","信義區","黎平里","6300200-039","台北市信義區黎平里",0,0,0,1,1,11,0,0,0,0,3013,3185
"台北市","信義區","黎忠里","6300200-040","台北市信義區黎忠里",0,0,0,5,0,19,0,0,0,0,1991,1891
"台北市","信義區","黎安里","6300200-041","台北市信義區黎安里",0,0,1,32,2,86,0,0,0,0,945,339
"台北市","大安區","德安里","6300300-001","台北市大安區德安里",0,0,0,0,0,0,0,0,0,0,2337,2254
"台北市","大安區","仁慈里","6300300-002","台北市大安區仁慈里",0,0,0,0,0,1,0,0,0,0,2030,1797
"台北市","大安區","和安里","6300300-003","台北市大安區和安里",0,0,0,2,0,6,0,0,0,0,2516,2171
"台北市","大安區","民炤里","6300300-004","台北市大安區民炤里",0,0,0,0,0,0,0,0,0,0,3249,3164
"台北市","大安區","仁愛里","6300300-005","台北市大安區仁愛里",0,0,0,0,0,2,0,0,0,0,2231,2143
"台北市","大安區","義村里","6300300-006","台北市大安區義村里",0,0,0,0,0,7,0,0,0,0,2509,2114
"台北市","大安區","民輝里","6300300-007","台北市大安區民輝里",0,0,0,0,0,1,0,0,0,0,2854,2933
"台北市","大安區","昌隆里","6300300-008","台北市大安區昌隆里",0,0,0,0,0,0,0,0,0,0,1222,1078
"台北市","大安區","誠安里","6300300-009","台北市大安區誠安里",0,0,0,0,0,0,0,0,0,0,1818,1857
"台北市","大安區","光武里","6300300-010","台北市大安區光武里",0,0,0,0,0,1,0,0,0,0,3238,3142
"台北市","大安區","龍坡里","6300300-011","台北市大安區龍坡里",0,0,0,0,0,7,0,0,0,0,2279,1079
"台北市","大安區","龍泉里","6300300-012","台北市大安區龍泉里",0,0,0,0,0,0,0,0,0,0,2037,1890
"台北市","大安區","古風里","6300300-013","台北市大安區古風里",0,0,0,0,0,4,0,0,0,0,1794,1698
"台北市","大安區","古莊里","6300300-014","台北市大安區古莊里",0,0,0,0,0,2,0,0,0,0,3055,3156
"台北市","大安區","龍安里","6300300-015","台北市大安區龍安里",0,0,0,0,0,0,0,0,0,0,3731,1957
"台北市","大安區","錦安里","6300300-016","台北市大安區錦安里",0,0,0,0,0,1,0,0,0,0,2370,1984
"台北市","大安區","福住里","6300300-017","台北市大安區福住里",0,0,0,0,0,0,0,0,0,0,2393,2026
"台北市","大安區","永康里","6300300-018","台北市大安區永康里",0,0,0,0,0,0,0,0,0,0,1494,1464
"台北市","大安區","光明里","6300300-019","台北市大安區光明里",0,0,0,0,0,0,0,0,0,0,1405,1247
"台北市","大安區","錦泰里","6300300-020","台北市大安區錦泰里",0,0,0,2,0,0,0,0,0,0,1364,1050
"台北市","大安區","錦華里","6300300-021","台北市大安區錦華里",0,0,0,0,0,0,0,0,0,0,2175,1698
"台北市","大安區","龍圖里","6300300-022","台北市大安區龍圖里",0,0,0,1,0,6,0,0,0,0,2824,2664
"台北市","大安區","新龍里","6300300-023","台北市大安區新龍里",0,0,0,0,0,0,0,0,0,0,2633,2018
"台北市","大安區","龍陣里","6300300-026","台北市大安區龍陣里",0,0,0,0,2,1,0,0,0,0,1454,1319
"台北市","大安區","龍雲里","6300300-027","台北市大安區龍雲里",0,0,0,0,0,1,0,0,0,0,1908,1709
"台北市","大安區","龍生里","6300300-028","台北市大安區龍生里",0,0,0,2,0,2,0,0,0,0,2599,2121
"台北市","大安區","住安里","6300300-029","台北市大安區住安里",0,0,0,2,1,0,0,0,0,0,2317,2289
"台北市","大安區","義安里","6300300-030","台北市大安區義安里",0,0,0,1,0,0,0,0,0,0,2185,2236
"台北市","大安區","通化里","6300300-031","台北市大安區通化里",0,0,0,0,1,24,0,0,0,0,2603,2566
"台北市","大安區","通安里","6300300-032","台北市大安區通安里",0,0,0,2,0,3,0,0,0,0,2358,2298
"台北市","大安區","臨江里","6300300-033","台北市大安區臨江里",0,0,0,0,0,6,0,0,0,0,1751,1756
"台北市","大安區","法治里","6300300-034","台北市大安區法治里",0,0,0,0,0,0,0,0,0,0,1880,1865
"台北市","大安區","全安里","6300300-035","台北市大安區全安里",0,0,0,0,0,0,0,0,0,0,1822,1820
"台北市","大安區","群賢里","6300300-036","台北市大安區群賢里",0,0,0,0,0,2,0,0,0,0,2486,2394
"台北市","大安區","群英里","6300300-037","台北市大安區群英里",0,0,0,0,0,0,0,0,0,0,3007,2581
"台北市","大安區","虎嘯里","6300300-038","台北市大安區虎嘯里",0,0,0,1,0,3,0,0,0,0,1707,1830
"台北市","大安區","臥龍里","6300300-039","台北市大安區臥龍里",0,0,0,1,0,7,0,0,0,0,832,775
"台北市","大安區","龍淵里","6300300-040","台北市大安區龍淵里",0,0,0,2,0,1,0,0,0,0,3547,2643
"台北市","大安區","龍門里","6300300-041","台北市大安區龍門里",0,0,0,0,0,2,0,0,0,0,1644,1466
